student_id_PK,gender,prog_code,gpa,town_origin,year_cred,dropout
841-16-6955,M,TIEL,298,BAYAMON,CUA,N
841-16-7030,M,SINF,286,TOA ALTA,CUA,N
841-16-7051,M,MERC,280,BAYAMON,CUA,N
841-16-7360,F,ESCO,264,TOA ALTA,CUA,N
841-16-7450,M,BHUM,286,TOA BAJA,CUA,N
841-16-7661,M,SINF,313,TOA BAJA,CUA,N
841-16-7690,M,FINA,307,TOA ALTA,CUA,N
841-16-7805,F,BIOG,307,BAYAMON,CUA,N
841-16-8085,M,ESCO,308,BAYAMON,CUA,N
841-16-8170,M,SOFI,273,DORADO,CUA,N
841-16-8220,F,BIOG,313,CAROLINA,CUA,N
841-16-8570,M,CONT,251,BAYAMON,TER,N
841-16-8590,M,CONT,397,BAYAMON,CUA,N
841-16-8824,M,TIEL,246,TOA ALTA,TER,N
841-16-9138,F,SINF,263,FAJARDO,CUA,N
841-16-9260,M,MERC,242,GUAYNABO,CUA,N
841-16-9350,F,GERE,344,GUAYNABO,CNB,N
841-16-9630,M,GEMA,313,BAYAMON,CUA,N
841-17-0055,M,SICI,220,BAYAMON,TER,N
841-17-0074,F,ESCO,359,TOA BAJA,CUA,N
841-17-0129,F,GERE,271,BAYAMON,CUA,N
841-17-0248,F,GEMA,319,VEGA BAJA,CUA,N
841-17-0264,M,CCOM,298,SAN JUAN,CUA,N
841-17-0316,F,GERE,263,NARANJITO,CUA,N
841-17-0331,F,BIOG,276,MANATI,CUA,N
841-17-0532,M,FINA,334,NARANJITO,CUA,N
841-17-0571,M,EFEE,316,SAN JUAN,CUA,N
841-17-0614,F,ESCO,377,BAYAMON,CUA,N
841-17-0735,F,GERE,286,TOA ALTA,SEG,N
841-17-0781,F,ESCO,279,SAN JUAN,CUA,N
841-17-0826,F,BIOG,326,BAYAMON,CUA,N
841-17-0933,M,CCOM,325,BAYAMON,CUA,N
841-17-0948,M,SICI,317,BAYAMON,TER,N
841-17-0958,F,MERC,334,BAYAMON,CUA,N
841-17-1061,F,BIOG,286,GUAYNABO,CUA,N
841-17-1067,F,BHUM,294,BAYAMON,CUA,N
841-17-1084,F,MERC,306,TOA ALTA,CUA,N
841-17-1304,M,EFEE,329,TOA ALTA,CUA,N
841-17-1372,M,SINF,310,SAN JUAN,CUA,N
841-17-1571,M,SICI,250,BAYAMON,CUA,N
841-17-1669,M,BHUM,315,TOA BAJA,CUA,N
841-17-1752,F,GERE,334,OROCOVIS,CUA,N
841-17-1760,M,MERC,307,GUAYNABO,CUA,N
841-17-1935,F,EFEE,237,BAYAMON,CUA,N
841-17-1938,F,BIOG,309,DORADO,CUA,N
841-17-1992,F,CCOM,325,TOA ALTA,CUA,N
841-17-2020,M,TIEL,267,BAYAMON,TER,N
841-17-2191,M,TIEL,241,VEGA ALTA,CUA,N
841-17-2209,M,GERE,275,VEGA ALTA,CNB,N
841-17-2343,F,BIOG,286,SAN JUAN,CUA,N
841-17-2417,F,TIEL,295,BAYAMON,CUA,N
841-17-2450,M,BIOG,321,SAN JUAN,CUA,N
841-17-2457,M,GERE,234,CAROLINA,CUA,N
841-17-2497,M,CCOM,296,BAYAMON,TER,N
841-17-2510,M,BIOG,330,NARANJITO,SEG,N
841-17-2575,M,SINF,305,BAYAMON,TER,N
841-17-2614,M,CCOM,272,VEGA BAJA,TER,N
841-17-2679,F,BHUM,343,COROZAL,SEG,N
841-17-2787,F,MERC,315,BAYAMON,CUA,N
841-17-2837,M,EFEE,286,BAYAMON,CUA,N
841-17-2916,M,TIEL,214,TOA ALTA,TER,N
841-17-2940,F,BHUM,315,VEGA ALTA,CUA,N
841-17-2976,M,BIOG,275,SAN JUAN,CUA,N
841-17-3029,M,FINA,317,AGUAS BUENAS,CUA,N
841-17-3033,M,BHUM,287,SAN JUAN,CUA,N
841-17-3077,F,BIOG,315,BAYAMON,TER,N
841-17-3113,M,CCOM,260,SAN LORENZO,TER,N
841-17-3149,F,EFEE,229,FAJARDO,CUA,N
841-17-3175,M,BHUM,297,TRUJILLO ALTO,CUA,N
841-17-3188,F,EFEE,387,TOA ALTA,TER,N
841-17-3371,F,MERC,304,BAYAMON,CUA,N
841-17-3393,F,ESCO,316,NARANJITO,CUA,N
841-17-3418,M,TIEL,229,SAN LORENZO,TER,N
841-17-3456,M,CCOM,331,TOA ALTA,CUA,N
841-17-3487,M,TIEL,301,BAYAMON,CUA,N
841-17-3504,F,BIOG,324,DORADO,SEG,N
841-17-3519,M,TIEL,315,BAYAMON,CUA,N
841-17-3602,F,BIOG,349,BAYAMON,CUA,N
841-17-3671,M,BIOG,299,BAYAMON,CUA,N
841-17-3998,F,CCOM,314,BAYAMON,CUA,N
841-17-4099,F,ESCO,368,BAYAMON,CUA,N
841-17-4125,F,GERE,209,GUAYNABO,SEG,N
841-17-4149,M,SINF,298,RIO GRANDE,TER,N
841-17-4152,F,ESCO,332,DORADO,CUA,N
841-17-4240,M,FINA,260,TOA BAJA,CUA,N
841-17-4296,M,SOFI,338,BAYAMON,CUA,N
841-17-4347,F,BHUM,342,BAYAMON,CUA,N
841-17-4512,F,SOFI,299,COMERIO,CUA,N
841-17-4534,M,CCOM,385,MOROVIS,CUA,N
841-17-4623,M,BIOG,325,TOA ALTA,CUA,N
841-17-4665,F,BIOG,382,BAYAMON,CUA,N
841-17-4679,F,SOFI,256,TOA ALTA,CUA,N
841-17-4705,M,TIEL,280,BAYAMON,CUA,N
841-17-4832,M,BIOG,248,TOA ALTA,SEG,N
841-17-4870,F,SOFI,260,BAYAMON,CUA,N
841-17-4936,F,TIEL,244,GUAYAMA,CUA,N
841-17-4961,M,BHUM,308,BAYAMON,CUA,N
841-17-5003,M,GEMA,296,SAN JUAN,CUA,N
841-17-5037,M,CCOM,340,CIDRA,CUA,N
841-17-5101,F,BHUM,347,TOA ALTA,CUA,N
841-17-5167,F,CONT,356,NARANJITO,CUA,N
841-17-5238,F,CONT,324,TOA BAJA,CUA,N
841-17-5390,M,CONT,323,SAN JUAN,TER,N
841-17-5392,F,CONT,298,BAYAMON,CNB,N
841-17-5401,M,FINA,232,BAYAMON,CUA,N
841-17-5606,F,CONT,339,TOA ALTA,CUA,N
841-17-5607,M,TIEL,303,SAN LORENZO,CUA,N
841-17-5814,M,GEMA,333,TRUJILLO ALTO,CUA,N
841-17-5850,F,GERE,281,VEGA ALTA,CUA,N
841-17-5852,M,CONT,290,CAGUAS,CUA,N
841-17-5861,F,BHUM,334,BAYAMON,CUA,N
841-17-5897,M,CONT,246,SAN JUAN,CUA,N
841-17-5932,F,CONT,350,TOA BAJA,CUA,N
841-17-5940,M,TIEL,198,CAGUAS,SEG,N
841-17-6097,M,GEMA,319,BAYAMON,CUA,N
841-17-6148,F,GERE,355,DORADO,CUA,N
841-17-6188,M,SINF,322,BAYAMON,CUA,N
841-17-6197,M,CONT,295,COROZAL,CUA,N
841-17-6203,M,GERE,237,TOA BAJA,TER,N
841-17-6243,M,MERC,235,GUAYNABO,CUA,N
841-17-6322,M,SINF,328,TOA ALTA,CUA,N
841-17-6411,F,BIOG,273,BAYAMON,CUA,N
841-17-6424,M,EFEE,331,BAYAMON,CUA,N
841-17-6447,M,TIEL,271,GUAYNABO,TER,N
841-17-6512,F,CONT,341,TOA BAJA,CUA,N
841-17-6575,F,BHUM,343,BAYAMON,CUA,N
841-17-6583,F,BIOG,275,TOA BAJA,CUA,N
841-17-6643,M,FINA,282,SAN JUAN,CUA,N
841-17-6710,F,MERC,271,AGUAS BUENAS,CUA,N
841-17-6716,M,SINF,270,SAN JUAN,TER,N
841-17-6743,F,BIOG,337,TRUJILLO ALTO,CUA,N
841-17-6981,M,EFEE,344,BAYAMON,TER,N
841-17-7012,M,BHUM,311,BARCELONETA,CUA,N
841-17-7060,M,BHUM,267,BAYAMON,CUA,N
841-17-7163,M,TIEL,269,CAYEY,SEG,N
841-17-7171,M,CCOM,266,BAYAMON,TER,N
841-17-7196,F,ESCO,348,TOA BAJA,CUA,N
841-17-7338,M,BHUM,296,TRUJILLO ALTO,CUA,N
841-17-7374,M,BHUM,230,GUAYNABO,TER,N
841-17-7391,M,MERC,285,CIDRA,CUA,N
841-17-7457,M,BIOG,365,NARANJITO,CUA,N
841-17-7518,M,GEMA,255,BAYAMON,TER,N
841-17-7558,F,FINA,294,BAYAMON,CUA,N
841-17-7584,M,TIEL,300,SAN JUAN,TER,N
841-17-7674,M,CONT,289,TOA ALTA,CUA,N
841-17-7739,M,BHUM,286,TOA ALTA,CUA,N
841-17-7763,M,BIOG,400,BAYAMON,CUA,N
841-17-7821,F,BHUM,303,BAYAMON,CUA,N
841-17-7826,M,CCOM,288,SAN JUAN,CUA,N
841-17-7881,F,EFEE,253,ISABELA,CUA,N
841-17-7991,F,ESCO,299,MANATI,CUA,N
841-17-8029,F,ESCO,244,BAYAMON,CUA,N
841-17-8049,M,TIEL,225,BAYAMON,SEG,N
841-17-8059,F,BIOG,276,GUAYNABO,CUA,N
841-17-8228,M,CONT,308,BAYAMON,CUA,N
841-17-8245,F,MERC,246,BAYAMON,CUA,N
841-17-8375,F,BHUM,331,TOA ALTA,CUA,N
841-17-8520,F,BHUM,344,MOROVIS,CUA,N
841-17-8528,F,GERE,221,CATANO,TER,N
841-17-8598,M,GERE,364,TOA BAJA,CUA,N
841-17-8671,F,BHUM,383,NARANJITO,CUA,N
841-17-8701,F,BIOG,328,TOA ALTA,CUA,N
841-17-8716,F,ESCO,387,BAYAMON,CUA,N
841-17-8806,M,FINA,287,GUAYNABO,CUA,N
841-17-8843,M,MERC,337,CAROLINA,CUA,N
841-17-8988,F,ESCO,332,TOA ALTA,TER,N
841-17-9174,F,EFEE,322,TOA ALTA,CUA,N
841-17-9240,F,CONT,323,BAYAMON,CNB,N
841-17-9332,F,EFEE,396,SAN JUAN,TER,N
841-17-9401,M,BIOG,274,TOA BAJA,CUA,N
841-17-9472,F,SOFI,270,NARANJITO,TER,N
841-17-9495,M,GEMA,272,CAROLINA,CUA,N
841-17-9496,M,GERE,271,TOA ALTA,TER,N
841-17-9527,M,CONT,297,DORADO,CUA,N
841-17-9730,F,BHUM,369,TOA ALTA,CUA,N
841-17-9850,F,SINF,296,CAGUAS,TER,N
841-17-9952,M,CONT,278,BAYAMON,CUA,N
841-17-9997,M,CONT,275,TOA BAJA,CUA,N
841-18-0021,M,CONT,265,DORADO,TER,N
841-18-0063,M,CONT,282,SAN JUAN,TER,N
841-18-0120,F,CONT,369,GUAYNABO,CUA,N
841-18-0125,M,GERE,294,COROZAL,TER,N
841-18-0156,M,EFEE,310,BAYAMON,TER,N
841-18-0178,F,BHUM,318,COROZAL,CUA,N
841-18-0219,F,BHUM,350,DORADO,CUA,N
841-18-0223,F,BHUM,394,MOROVIS,CUA,N
841-18-0241,F,SOFI,273,CAGUAS,CUA,N
841-18-0249,F,EFEE,336,BAYAMON,CUA,N
841-18-0259,M,CONT,353,TRUJILLO ALTO,CUA,N
841-18-0301,M,CCOM,346,TOA BAJA,TER,N
841-18-0312,M,TIEL,282,LUQUILLO,TER,N
841-18-0350,M,CONT,314,CAGUAS,TER,N
841-18-0358,F,BIOG,313,BAYAMON,TER,N
841-18-0370,F,CONT,299,BAYAMON,TER,N
841-18-0403,M,MERC,267,BAYAMON,TER,N
841-18-0413,M,MERC,205,TOA ALTA,SEG,N
841-18-0432,M,MERC,371,SAN JUAN,CUA,N
841-18-0513,F,CONT,379,VEGA BAJA,CUA,N
841-18-0559,F,ESCO,192,BAYAMON,TER,N
841-18-0560,F,ESCO,327,CATANO,TER,N
841-18-0569,F,BHUM,315,COROZAL,CUA,N
841-18-0577,M,BHUM,329,TOA ALTA,TER,N
841-18-0581,M,BIOG,295,NARANJITO,TER,N
841-18-0609,M,FINA,320,TOA ALTA,TER,N
841-18-0629,M,TIEL,252,SAN JUAN,TER,N
841-18-0652,F,CONT,303,SAN JUAN,TER,N
841-18-0708,M,CONT,326,TRUJILLO ALTO,TER,N
841-18-0721,F,BIOG,317,GUAYNABO,TER,N
841-18-0726,M,BHUM,341,VEGA BAJA,CUA,N
841-18-0757,F,BHUM,340,SAN JUAN,CUA,N
841-18-0794,M,SOFI,226,BAYAMON,TER,N
841-18-0812,F,FINA,287,BAYAMON,CUA,N
841-18-0819,M,EFEE,321,TOA BAJA,TER,N
841-18-0821,M,MERC,256,BAYAMON,SEG,N
841-18-0863,F,TIEL,303,CAROLINA,TER,N
841-18-0873,F,MERC,346,TOA ALTA,TER,N
841-18-0890,M,MERC,259,TOA ALTA,TER,N
841-18-0894,M,BHUM,315,VEGA BAJA,CUA,N
841-18-0904,F,BIOG,299,BAYAMON,CUA,N
841-18-0913,F,BIOG,345,BAYAMON,CUA,N
841-18-0968,M,CONT,262,BAYAMON,TER,N
841-18-0991,F,EFEE,317,NARANJITO,CUA,N
841-18-1003,F,BHUM,320,GUAYNABO,CUA,N
841-18-1066,M,MERC,293,BAYAMON,TER,N
841-18-1140,F,EFEE,349,NARANJITO,CUA,N
841-18-1159,F,BHUM,359,BARRANQUITAS,CUA,N
841-18-1199,M,MERC,331,BAYAMON,CUA,N
841-18-1209,F,EFEE,372,RIO GRANDE,CUA,N
841-18-1249,M,BHUM,241,TOA BAJA,TER,N
841-18-1270,F,BIOG,325,BAYAMON,CUA,N
841-18-1312,M,MERC,313,VEGA ALTA,TER,N
841-18-1320,M,BHUM,352,GUAYNABO,CUA,N
841-18-1326,F,ESCO,369,SABANA SECA,CUA,N
841-18-1329,F,ESCO,289,BAYAMON,TER,N
841-18-1344,M,GERE,225,BAYAMON,TER,N
841-18-1346,F,BHUM,313,NARANJITO,CUA,N
841-18-1401,M,TIEL,305,DORADO,TER,N
841-18-1430,F,BIOG,382,TOA ALTA,TER,N
841-18-1437,F,CONT,253,TOA BAJA,TER,N
841-18-1475,F,FINA,359,BAYAMON,TER,N
841-18-1478,F,MERC,293,BAYAMON,TER,N
841-18-1482,M,SINF,279,BAYAMON,TER,N
841-18-1483,F,BHUM,275,COROZAL,TER,N
841-18-1492,F,CONT,305,SAN JUAN,CUA,N
841-18-1497,M,BIOG,330,TOA ALTA,CUA,N
841-18-1509,F,MERC,320,BAYAMON,SEG,N
841-18-1510,F,GERE,313,YABUCOA,TER,N
841-18-1526,M,MERC,343,DORADO,CUA,N
841-18-1536,M,CONT,230,BAYAMON,SEG,N
841-18-1568,F,GERE,400,VEGA ALTA,CNB,N
841-18-1577,F,BIOG,348,NARANJITO,TER,N
841-18-1582,M,SINF,340,NARANJITO,TER,N
841-18-1583,F,CONT,279,BAYAMON,SEG,N
841-18-1589,F,SOFI,351,BAYAMON,CUA,N
841-18-1600,M,CCOM,381,BAYAMON,TER,N
841-18-1616,M,BHUM,309,TOA ALTA,CUA,N
841-18-1623,M,CCOM,190,TOA BAJA,SEG,N
841-18-1628,F,EFEE,346,COROZAL,CUA,N
841-18-1698,M,BHUM,315,BAYAMON,TER,N
841-18-1756,M,TIEL,222,BAYAMON,TER,N
841-18-1801,F,GEMA,312,BAYAMON,TER,N
841-18-1869,M,GEMA,269,CAROLINA,TER,N
841-18-1883,F,BHUM,330,TOA BAJA,CUA,N
841-18-1902,F,ESCO,391,BAYAMON,TER,N
841-18-1953,M,CCOM,289,BAYAMON,TER,N
841-18-1969,F,BIOG,329,NARANJITO,CUA,N
841-18-2041,M,CONT,354,BAYAMON,TER,N
841-18-2077,M,CCOM,314,SAN LORENZO,TER,N
841-18-2116,F,BIOG,272,TOA ALTA,TER,N
841-18-2159,F,BHUM,328,VEGA ALTA,CUA,N
841-18-2168,M,CONT,324,BAYAMON,CUA,N
841-18-2248,M,SINF,286,BARRANQUITAS,TER,N
841-18-2260,M,GERE,242,TOA BAJA,TER,N
841-18-2284,M,CONT,276,BAYAMON,TER,N
841-18-2293,F,CCOM,218,BAYAMON,SEG,N
841-18-2313,F,BHUM,389,TOA BAJA,TER,N
841-18-2418,M,BIOG,300,SAN JUAN,CUA,N
841-18-2504,F,MERC,360,BAYAMON,TER,N
841-18-2516,F,TIEL,381,GUAYNABO,TER,N
841-18-2577,F,GEMA,321,NARANJITO,TER,N
841-18-2579,F,ESCO,343,NARANJITO,CUA,N
841-18-2581,M,EFEE,344,GUAYNABO,CUA,N
841-18-2626,F,MERC,279,GUAYNABO,TER,N
841-18-2668,M,FINA,352,BAYAMON,TER,N
841-18-2695,F,BHUM,334,SAN JUAN,TER,N
841-18-2715,M,BHUM,339,TOA ALTA,CUA,N
841-18-2751,F,GERE,301,SAN JUAN,TER,N
841-18-2756,F,GERE,280,AGUAS BUENAS,TER,N
841-18-2811,F,BHUM,397,BAYAMON,CUA,N
841-18-2837,M,BIOG,336,NARANJITO,CUA,N
841-18-2891,M,BIOG,329,BAYAMON,CUA,N
841-18-2896,F,BHUM,263,DORADO,CUA,N
841-18-2903,F,MERC,290,SAN JUAN,TER,N
841-18-2959,F,GERE,240,TOA ALTA,TER,N
841-18-3007,M,CONT,377,DORADO,TER,N
841-18-3042,M,TIEL,269,BAYAMON,TER,N
841-18-3043,M,GEMA,287,CATANO,TER,N
841-18-3047,F,BHUM,353,TOA BAJA,CUA,N
841-18-3052,F,BIOG,326,COROZAL,TER,N
841-18-3069,F,SOFI,321,DORADO,CUA,N
841-18-3259,M,BHUM,233,TOA ALTA,TER,N
841-18-3301,M,ESCO,313,BAYAMON,TER,N
841-18-3362,F,MERC,319,TOA ALTA,TER,N
841-18-3402,M,SINF,293,TOA ALTA,SEG,N
841-18-3416,M,BHUM,262,BAYAMON,CUA,N
841-18-3417,M,CONT,220,SAN JUAN,TER,N
841-18-3464,F,BHUM,310,TRUJILLO ALTO,CUA,N
841-18-3488,F,BIOG,328,TOA ALTA,TER,N
841-18-3550,F,BHUM,341,MANATI,TER,N
841-18-3574,F,BHUM,347,BAYAMON,CUA,N
841-18-3592,F,GERE,337,TOA ALTA,TER,N
841-18-3603,M,SICI,275,DORADO,SEG,N
841-18-3619,M,MERC,374,BAYAMON,CUA,N
841-18-3688,M,MERC,249,TOA ALTA,TER,N
841-18-3720,M,TIEL,293,BAYAMON,TER,N
841-18-3729,F,GERE,255,GUAYNABO,TER,N
841-18-3791,M,GERE,203,BAYAMON,SEG,N
841-18-3894,M,GERE,352,CATANO,TER,N
841-18-3957,M,MERC,327,CAGUAS,TER,N
841-18-3968,M,SICI,252,SAN JUAN,SEG,N
841-18-3980,M,FINA,296,GUAYNABO,TER,N
841-18-4083,M,GERE,336,TOA BAJA,TER,N
841-18-4128,M,BHUM,384,COROZAL,CUA,N
841-18-4132,F,BHUM,356,TOA BAJA,TER,N
841-18-4142,M,CONT,259,TOA ALTA,TER,N
841-18-4186,M,MERC,331,BAYAMON,TER,N
841-18-4214,F,ESCO,363,COROZAL,TER,N
841-18-4231,F,BHUM,343,COROZAL,CUA,N
841-18-4257,F,MERC,359,COROZAL,TER,N
841-18-4285,M,TIEL,373,CAROLINA,CUA,N
841-18-4313,F,ESCO,341,VEGA ALTA,TER,N
841-18-4326,F,BIOG,387,BAYAMON,CUA,N
841-18-4343,F,BIOG,329,NARANJITO,CUA,N
841-18-4366,F,BHUM,325,BAYAMON,CUA,N
841-18-4369,F,SOFI,227,TOA ALTA,TER,N
841-18-4535,M,MERC,359,TOA BAJA,CUA,N
841-18-4570,F,MERC,369,BAYAMON,CUA,N
841-18-4573,M,BHUM,395,BAYAMON,CUA,N
841-18-4580,F,FINA,282,CAROLINA,TER,N
841-18-4582,M,CCOM,340,CAGUAS,TER,N
841-18-4635,F,BIOG,252,FAJARDO,TER,N
841-18-4658,F,GERE,367,BAYAMON,CUA,N
841-18-4683,F,CONT,222,BAYAMON,SEG,N
841-18-4697,M,BHUM,347,TOA ALTA,CUA,N
841-18-4767,F,EFEE,333,VEGA ALTA,CUA,N
841-18-4861,F,CONT,387,GUAYNABO,CUA,N
841-18-4878,M,BHUM,276,TRUJILLO ALTO,CUA,N
841-18-4890,F,BIOG,305,TOA ALTA,CUA,N
841-18-5008,F,ESCO,316,BAYAMON,TER,N
841-18-5056,M,BIOG,397,NARANJITO,CUA,N
841-18-5135,F,BIOG,299,BAYAMON,CUA,N
841-18-5192,M,BIOG,328,CAROLINA,CUA,N
841-18-5302,F,BHUM,274,SAN JUAN,TER,N
841-18-5413,F,MERC,313,AGUAS BUENAS,TER,N
841-18-5415,F,GERE,279,TOA BAJA,TER,N
841-18-5443,M,TIEL,274,TOA ALTA,TER,N
841-18-5446,F,BIOG,310,GUAYNABO,TER,N
841-18-5545,M,GEMA,293,SAN JUAN,TER,N
841-18-5620,M,BIOG,282,SAN JUAN,CUA,N
841-18-5637,M,TIEL,341,TRUJILLO ALTO,CUA,N
841-18-5675,M,SINF,263,BAYAMON,SEG,N
841-18-5686,F,CONT,348,CATANO,CUA,N
841-18-5702,M,BIOG,366,BAYAMON,CUA,N
841-18-5703,M,TIEL,310,NARANJITO,TER,N
841-18-5721,M,GEMA,342,TOA ALTA,TER,N
841-18-5742,M,SICI,199,LAS PIEDRAS,SEG,N
841-18-5743,M,CCOM,322,BAYAMON,TER,N
841-18-5790,F,BHUM,338,TOA ALTA,CUA,N
841-18-5859,M,CONT,277,VEGA ALTA,TER,N
841-18-5869,F,BIOG,349,DORADO,CUA,N
841-18-5874,F,FINA,357,CAGUAS,CUA,N
841-18-5904,M,TIEL,218,TOA BAJA,TER,N
841-18-5931,M,FINA,289,TOA BAJA,SEG,N
841-18-5942,M,CCOM,337,TOA ALTA,TER,N
841-18-5967,F,GEMA,280,BAYAMON,TER,N
841-18-6024,F,BIOG,360,BAYAMON,CUA,N
841-18-6052,F,GERE,305,TOA BAJA,TER,N
841-18-6074,F,SINF,323,BAYAMON,TER,N
841-18-6105,F,CONT,347,DORADO,CUA,N
